Number of operations,t=1000d,t=2000d,t=3000d
201,0.1820875684461406,0.3310192543096533,0.4528323316296945
202,0.1829050720577634,0.3323558787310711,0.45447137484070665
203,0.1837217585743901,0.33368983257511364,0.4561055082904101
204,0.1845376288127073,0.3350211211775981,0.45773474668601677
205,0.18535268358858548,0.3363497498636806,0.4593591046906834
206,0.18616692371707932,0.3376757239478778,0.46097859692364296
207,0.18698035001242896,0.3389990487340876,0.46259323796033636
208,0.18779296328806105,0.34031972951561096,0.46420304233254395
209,0.18860476435658857,0.34163777157517283,0.4658080245285159
210,0.18941575402981292,0.34295318018494325,0.4674081989931028
211,0.1902259331187237,0.34426596060655823,0.4690035801278857
212,0.1910353024335002,0.3455761180911414,0.47059418229130545
213,0.19184386278351162,0.3468836578793244,0.4721800197987923
214,0.19265161497731853,0.34818858520126805,0.47376110692289464
215,0.19345855982267313,0.3494909052766835,0.4753374578934071
216,0.19426469812652036,0.35079062331485256,0.4769090868974992
217,0.1950700306949985,0.3520877445146494,0.4784760080798425
218,0.19587455833344036,0.35338227406456035,0.48003823554273817
219,0.19667828184637348,0.3546742171427054,0.4815957833462441
220,0.1974812020375215,0.3559635789168586,0.4831486655083008
221,0.19828331970980473,0.3572503645444688,0.4846968960048583
222,0.19908463566534085,0.35853457917268017,0.4862404887700017
223,0.19988515070544588,0.3598162279383529,0.487779457696076
224,0.20068486563063492,0.36109531596808375,0.4893138166338121
225,0.20148378124062294,0.36237184837822667,0.4908435793924508
226,0.20228189833432575,0.36364583027491293,0.49236875973986727
227,0.20307921770986037,0.3649172667540719,0.49388937140269484
228,0.20387574016454624,0.366186162901451,0.4954054280664488
229,0.20467146649490608,0.3674525237926366,0.4969169433756494
230,0.20546639749666595,0.36871635449307405,0.49842393093394455
231,0.2062605339647573,0.36997766005808774,0.4999264043042324
232,0.20705387669331632,0.3712364455329016,0.5014243770087835
233,0.20784642647568596,0.3724927159526593,0.5029178625293623
234,0.20863818410441615,0.37374647634244407,0.5044068743073487
235,0.20942915037126442,0.3749977317172992,0.5058914257438583
236,0.2102193260671973,0.37624648708224795,0.5073715301998645
237,0.21100871198239035,0.3774927474323133,0.5088472009963173
238,0.2117973089062296,0.37873651775253836,0.5103184514142638
239,0.21258511762731214,0.3799778030180061,0.5117852946949677
