Time (days),N=50,N=100,N=5000
752.5083612040135,0.0008521450791920682,0.0009520548691113184,0.010694906781854918
762.5418060200669,0.0008621699237655323,0.0009620787112505358,0.010704832870117476
772.5752508361204,0.0008721946677557879,0.0009721024528165367,0.010714758858787699
782.608695652174,0.0008822193111638343,0.0009821260938103205,0.010724684747866475
792.6421404682275,0.0008922438539906707,0.0009921496342329972,0.010734610537354916
802.6755852842809,0.0009022682962372963,0.001002173074085566,0.01074453622725402
812.7090301003345,0.0009122926379048213,0.0010121964133690264,0.010754461817564787
822.742474916388,0.0009223168789941338,0.0010222196520842664,0.010764387308288104
832.7759197324415,0.0009323410195062332,0.001032242790232507,0.010774312699425082
842.8093645484951,0.0009423650594422295,0.0010422658278146368,0.01078423799097672
852.8428093645485,0.000952388998803011,0.0010522887648315438,0.010794163182944017
862.876254180602,0.0009624128375896879,0.0010623116012845601,0.010804088275327972
872.9096989966556,0.0009724365758032594,0.0010723343371743521,0.010814013268129474
882.9431438127091,0.0009824602134447247,0.001082356972502141,0.010823938161349633
892.9765886287626,0.000992483750515083,0.0010923795072689257,0.010833862954989448
903.0100334448161,0.0010025071870152225,0.0011024019414755948,0.010843787649049919
913.0434782608696,0.0010125305229463644,0.0011124242751232583,0.010853712243531932
923.0769230769231,0.001022553758309508,0.0011224465082129154,0.0108636367384366
933.1103678929767,0.0010325768931054302,0.0011324686407455653,0.01087356113376492
943.1438127090302,0.0010425999273353526,0.0011424906727220963,0.010883485429517892
953.1772575250836,0.0010526228610001631,0.0011525126041437295,0.010893409625696515
963.2107023411372,0.001062645694100972,0.0011625344350113531,0.010903333722301678
973.2441471571907,0.0010726684266387787,0.0011725561653259664,0.01091325771933449
983.2775919732442,0.0010826910586145821,0.0011825777950885685,0.010923181616795952
993.3110367892976,0.0010927135900292706,0.0011925993243002697,0.01093310541468695
1003.3444816053512,0.0011027360208839543,0.0012026207529620692,0.010943029113008707
1013.3779264214047,0.0011127583511796324,0.001212642081074855,0.010952952711761998
1023.4113712374582,0.0011227805809174152,0.0012226633086397376,0.010962876210947936
1033.4448160535117,0.0011328027100980798,0.001232684435657605,0.010972799610567407
1043.4782608695652,0.0011428247387228474,0.0012427054621295675,0.010982722910621634
1053.5117056856188,0.0011528466667927173,0.0012527263880567352,0.010992646111111393
1063.5451505016722,0.0011628684943084666,0.0012627472134398854,0.011002569212037794
1073.5785953177258,0.0011728902212714276,0.0012727679382801282,0.011012492213401726
1083.6120401337794,0.0011829118476823774,0.001282788562578574,0.01102241511520441
1093.6454849498327,0.0011929333735423153,0.0012928090863361108,0.011032337917446622
1103.6789297658863,0.0012029547988524625,0.0013028295095537379,0.011042260620129474
1113.71237458194,0.001212976123613596,0.0013128498322325655,0.011052183223253853
1123.7458193979933,0.0012229973478268263,0.0013228700543734817,0.011062105726820981
1133.7792642140469,0.0012330184714932635,0.0013328901759775968,0.011072028130831635
1143.8127090301005,0.0012430394946136847,0.00134291019704591,0.011081950435286925
1153.8461538461538,0.0012530604171893112,0.0013529301175794206,0.011091872640187739
1163.8795986622074,0.001263081239221031,0.0013629499375790166,0.011101794745535187
1173.913043478261,0.0012731019607099547,0.0013729696570458083,0.01111171675133027
1183.9464882943143,0.0012831225816569702,0.001382989275980906,0.011121638657573985
1193.979933110368,0.0012931431020631878,0.0013930087943850866,0.011131560464267332
1204.0133779264215,0.0013031635219294957,0.0014030282122595716,0.011141482171411199
1214.046822742475,0.001313183841257004,0.0014130475296052492,0.011151403779006697
